time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind
1918,0.20755484483101827,-1.1948687658035622,0.3321519165771438,1.0020604740811287,-8.655288771121207,-8.308390301435479,-0.9873139209725439,1.3342123906582726
1919,0.044939140376910554,-1.3077042747622207,0.3209909588487142,0.21266163251161366,-8.511261619195505,-9.240374162220487,-1.2627651343853101,0.5336525913603278
1920,-0.12274908341290738,-1.2729322602238118,0.33391204308738387,0.9070149370064468,-8.357139356782987,-8.511893720325876,-1.3956813436367193,1.2409269800938305
1921,-0.27658196653909617,-1.0944776240580285,0.6129420248515906,0.5316293217112438,-8.192556493612088,-8.419044737646379,-1.3710595905971248,1.1445713465628344
1922,-0.3991955748546959,-0.7924834883830488,0.4526322071803639,0.5175157339635098,-8.017281631497362,-8.238812753591233,-1.1916790632377448,0.9701479411438737
1923,-0.4767498594894853,-0.40103753444143087,0.7023964290322308,0.709961352971253,-7.831374687378878,-7.29680429930631,-0.8777873939309162,1.4123577820034838
1924,-0.5004908566364648,0.035675654937673655,0.33148141349230265,0.8032797380204195,-7.635076906071607,-6.965130956257676,-0.4648152016987911,1.134761151512722
1925,-0.4677387939175451,0.4683619437582092,0.511644116298267,0.31296204428607466,-7.429209103443159,-6.603979793018153,0.0006231498406641389,0.8246061605843417
1926,-0.38219057051755156,0.8481817336671348,0.4160996632096897,0.41034088326723583,-7.214764881929755,-5.9223331723032455,0.4659911631495832,0.8264405464769256
1927,-0.25350246854808217,1.132262748687664,0.34519843499030756,0.44262633543924024,-6.992478257917764,-5.325893207348635,0.8787602801395817,0.7878247704295478
1928,-0.0962001972247806,1.288539256598085,0.5055239864480647,0.691208808631893,-6.762949593353139,-4.373877738899877,1.1923390593733045,1.1967327950799578
1929,0.07196070104218545,1.299371498349952,0.4665939913788525,0.9035052894754663,-6.526628264180442,-3.7851967839339853,1.3713321993921375,1.3700992808543186
1930,0.23199901297602954,1.163536781313308,0.3952344089951439,0.6433482614674139,-6.283902837973996,-3.849784373222101,1.3955357942893376,1.0385826704625578
1931,0.3658503647384822,0.8963674910845456,0.48247253545498214,0.39049687684386075,-6.035523376343191,-3.90033610822132,1.2622178558230277,0.872969412298843
1932,0.45840624370043115,0.5280204437315081,0.45508875782532265,0.4101552869506376,-5.782502062619587,-3.9308313304116873,0.9864266874319393,0.8652440447759602
1933,0.49921937646655784,0.10007292587514927,0.19583711860806927,0.3283039669879594,-5.525814582965408,-4.402381195027672,0.5992923023417072,0.5241410855960287
1934,0.4836829680832703,-0.3391703543661872,0.6466026551589047,0.7018635318610829,-5.26640619484815,-3.773427394111079,0.14451261371708313,1.3484661870199877
1935,0.4135506954404859,-0.7401296762097288,0.4919390862633921,0.28937721876236083,-5.005470595866232,-4.5507332716097215,-0.3265789807692429,0.781316305025753
1936,0.29673876045159486,-1.0575466324891092,0.4593850767912327,0.37660376072987917,-4.744480665098912,-4.669299699615315,-0.7608078720375143,0.8359888375211119
1937,0.14643234631999955,-1.255592686327442,0.1825861839775791,0.3060845258227582,-4.484589544433586,-5.105079174640691,-1.1091603400074426,0.4886707098003373
1938,-0.020402664083173472,-1.3119133282919608,0.8851112034529791,0.8409322622004826,-4.226465756994836,-3.8327382837165085,-1.3323159923751342,1.7260434656534618
1939,-0.18493471748285387,-1.2201513485435682,0.28925151669158283,0.30846401104433246,-3.9704554719194194,-4.777826010209926,-1.4050860660264222,0.5977155277359153
1940,-0.32859220758630425,-0.9906644088589028,0.48855631600422716,0.3338999965576348,-3.716389061150866,-4.213189365034211,-1.319256616445207,0.822456312561862
1941,-0.4351597508735562,-0.6493559183615024,0.351172470414873,0.14228568503998978,-3.4640703749770543,-4.05512788875725,-1.0845156692350586,0.49345815545486277
1942,-0.49260850301536574,-0.23475117822468797,0.4215645291642985,0.5254561652753295,-3.2133671868472797,-2.9937061736477055,-0.7273596812400537,0.947020694439628
1943,-0.4944539183883047,0.2063511735851236,0.8389924576845403,0.8285576849851796,-2.964240917940006,-1.5847935200734673,-0.2881027448031811,1.66755014266972
1944,-0.4404876951627622,0.6241615730082576,0.7407214658117426,0.43992777262003707,-2.71690218940528,-1.352579073128005,0.18367387784549538,1.1806492384317797
1945,-0.33680128743623344,0.9715195422972662,0.6465891321662853,0.5961026332835856,-2.4716355458429327,-0.5942255255320288,0.6347182548610328,1.2426917654498708
1946,-0.19509833047258787,1.2092169434937083,0.5580867645042737,0.6757014032001518,-2.228833152191001,0.019073628534544973,1.0141186130211204,1.2337881677044256
1947,-0.03137358926058293,1.3104236090976153,0.36532729002486763,0.5775482443918438,-1.9888951860970234,0.2330303681567205,1.2790500198370325,0.9428755344167115
1948,0.1358924555193201,1.263715805502315,0.48393357554919747,0.8085070225652546,-1.7521355097869495,0.9399133493491378,1.3996082610216352,1.2924405981144522
1949,0.28781959745378305,1.0743656904500034,0.8042464228743419,0.8458426554827336,-1.5187986782248297,1.493475688036032,1.3621852879037863,1.6500890783570754
1950,0.40725901352086635,0.7637462165999039,0.5903723588285024,0.6068117906066135,-1.2888548111086604,1.079334568447226,1.1710052301207703,1.1971841494351159
1951,0.48072894277977724,0.36691865290237297,0.43547160254316125,0.5730907541336188,-1.0621664488507658,0.7940435035081643,0.8476475956821502,1.00856235667678
1952,0.4999364442967664,-0.07132496695176548,0.62294305497343,-0.01096123150364529,-0.8386023097650153,0.20199099104977036,0.42861147734500094,0.6119818234697848
1953,0.462713465411761,-0.5015177591543933,0.5237996367851135,0.48278062689618867,-0.6180677364635958,0.34970823347507407,-0.038804293742632334,1.0065802636813022
1954,0.37326156135130184,-0.8751015795525708,0.6872235742228904,0.6176570924385791,-0.4008482074887034,0.4021924409714971,-0.501840018201269,1.3048806666614694
1955,0.24167764338599307,-1.1499080391520933,0.4130938438934017,0.14761197015790622,-0.1874810493169683,-0.5350056310317606,-0.9082303957661002,0.5607058140513079
1956,0.08281428685549339,-1.2949182740360003,0.44574185895670576,0.3432970319570521,0.02132884351711084,-0.4017362527496384,-1.212103987180507,0.7890388909137578
1957,-0.0853967578556064,-1.2937642091998467,0.40974728921167114,0.4397121139035994,0.2247510446854227,-0.3049505192547598,-1.379160967055453,0.8494594031152705
1958,-0.24396861717516444,-1.1465761100680925,0.2935425664826563,0.2733997810689678,0.42206978078859336,-0.4015325989030395,-1.390544727243257,0.5669423475516241
1959,-0.3750024435562156,-0.8699678787441201,0.2655645722774364,0.5236792348803585,0.6126923168452829,0.1569658017027422,-1.2449703223003357,0.789243807157795
1960,-0.46370775341639786,-0.4951617546842214,0.1155749261942161,0.3117189308761486,0.7962012980055473,0.26462564697529256,-0.9588695081006193,0.4272938570703647
1961,-0.5000719075358234,-0.06446409478554181,0.6580654184653293,0.6516799607575327,0.9723970126573409,1.7176063895588376,-0.5645360023213652,1.309745379222862
1962,-0.479990290798349,0.37350996970201494,0.6494515165953735,0.3868360105582942,1.1413668018734366,2.0711740079307703,-0.10648032109633404,1.0362875271536676
1963,-0.40572962188926365,0.7693239811154899,0.25759433087242783,0.3975168232663463,1.3036276649338685,2.322333178298869,0.3635943592262263,0.6551111541387742
