time,nod1,nod2,trend,total,total_nodal
1896,0.533771115613495,-0.0,-10.015579378482471,-9.481808262868975,0.533771115613495
1897,0.5036463259303303,-0.42754325885194805,-9.923477404958454,-9.847374337880073,0.07610306707838227
1898,0.41667230181112297,-0.8068274404454109,-9.831650199805036,-10.221805338439324,-0.3901551386342879
1899,0.2826662630635735,-1.0950407257574652,-9.740209346329307,-10.552583809023199,-0.8123744626938918
1900,0.11675418265796556,-1.2596509512822598,-9.649134792746391,-10.792031561370685,-1.1428967686242943
1901,-0.06233656213887112,-1.282077687024315,-9.558383512072172,-10.902797761235359,-1.344414249163186
1902,-0.23439104825075943,-1.159789508267129,-9.468044925690613,-10.862225482208501,-1.3941805565178884
1903,-0.3799885724715755,-0.9065897309191074,-9.378202924092927,-10.66478122748361,-1.286578303390683
1904,-0.48269476933176697,-0.551058357971481,-9.288399933427241,-10.32215306073049,-1.0337531273032479
1905,-0.530916645171439,-0.1333261028425066,-9.197866857251777,-9.862109605265722,-0.6642427480139456
1906,-0.5192111408766563,0.29945537728168065,-9.105517251870726,-9.3252730154657,-0.21975576359497567
1907,-0.4488995188563465,0.6984357393002724,-9.010089544265986,-8.76055332382206,0.24953622044392587
1908,-0.32791822514022556,1.0185799517477387,-8.910900022964896,-8.220238296357383,0.6906617266075132
1909,-0.16992306058445814,1.2237516378657451,-8.807763245755226,-7.7539346684739385,1.053828577281287
1910,0.007252221863386934,1.2907919802793908,-8.700821187922502,-7.402776985779724,1.2980442021427778
1911,0.1836089075307788,1.212133779653893,-8.59053672876645,-7.194794041581778,1.3957426871846716
1912,0.3392406811093513,0.9966556046543082,-8.477150513431553,-7.141254227667893,1.3358962857636596
1913,0.4565805581372953,0.6686796207680437,-8.360587258743553,-7.235327079838214,1.125260178905339
1914,0.5223837637906587,0.2652262183710274,-8.240434782989995,-7.452824800828309,0.787609982161686
1915,0.5292227409281857,-0.1681646752583699,-8.115759985585102,-7.754701919915286,0.3610580656698158
1916,0.4763255378953576,-0.5825739292819091,-7.985528151188229,-8.091776542574781,-0.10624839138655151
1917,0.36966294280557804,-0.9312249712885196,-7.848594201538133,-8.410156230021075,-0.5615620284829415
1918,0.22127452898962693,-1.1747637073377908,-7.703892375578011,-8.657381553926175,-0.9534891783481638
1919,0.04790968444121586,-1.285700627455939,-7.550604834842391,-8.788395777857113,-1.2377909430147231
1920,-0.13086298052070508,-1.2515136925557926,-7.388050595988235,-8.770427269064733,-1.3823766730764977
1921,-0.2948644461794663,-1.076061763462353,-7.215877848778069,-8.586804058419888,-1.3709262096418193
1922,-0.4255829964972967,-0.7791490308065429,-7.033866664911723,-8.238598692215563,-1.2047320273038395
1923,-0.5082637347747482,-0.3942896108972989,-6.842069652987978,-7.7446229986600255,-0.9025533456720471
1924,-0.5335740471681734,0.03507537049736171,-6.640709144845116,-7.139207821515927,-0.49849867667081166
1925,-0.4986570243568388,0.4604812086248672,-6.430550166988107,-6.468725982720079,-0.038175815731971596
1926,-0.4074539360639849,0.8339100882504861,-6.212519251751143,-5.786063099564641,0.4264561521865012
1927,-0.2702593590207615,1.113211109367532,-5.987297694572273,-5.144345944225503,0.8429517503467706
1928,-0.10255917344137724,1.2668580830409841,-5.755439776324684,-4.591140866725077,1.1642989095996068
1929,0.0767174104841387,1.2775080597107185,-5.517349587785315,-4.163124117590458,1.354225470194857
1930,0.24733449303062185,1.143958919974161,-5.273368745548272,-3.8820753325434887,1.391293413004783
1931,0.3900336183628931,0.881285064184758,-5.024171282187654,-3.7528525996400024,1.2713186825476512
1932,0.4887075786802264,0.5191358848609737,-4.770673478054957,-3.7628300145137565,1.0078434635412001
